ID,Borough
1,Aricanduva
2,Butantã
3,Campo Limpo
4,Capela do Socorro
5,Casa Verde
6,Cidade Ademar
7,Cidade Tiradentes
8,Ermelino Matarazzo
9,Freguesia-Brasilândia
10,Guaianases
11,Ipiranga
12,Itaim Paulista
13,Itaquera
14,Jabaquara
15,Jaçanã-Tremembé
16,Lapa
17,M'Boi Mirim
18,Mooca
19,Parelheiros
20,Penha
21,Perus
22,Pinheiros
23,Pirituba-Jaraguá
24,Santana-Tucuruvi
25,Santo Amaro
26,São Mateus
27,São Miguel Paulista
28,Sapopemba
29,Sé
30,Vila Maria-Vila Guilherme
31,Vila Mariana
32,Vila Prudente
