Distritos,Área,População,Densidade
Aricanduva,21.50,267702,12451
Butantã,56.10,428217,7633
Campo Limpo,36.70,607105,16542
Capela do Socorro,134.20,594930,4433
Casa Verde,26.70,309376,11587
Cidade Ademar,30.70,410998,13388
Cidade Tiradentes,15.00,211501,14100
Ermelino Matarazzo,15.10,207509,13742
Freguesia-Brasilândia,31.50,407245,12928
Guaianases,17.80,268508,15085
Ipiranga,37.50,463804,12368
Itaim Paulista,21.70,373127,17195
Itaquera,54.30,523848,9647
Jabaquara,14.10,223780,15871
Jaçanã,64.10,291867,4553
Lapa,40.10,305526,7619
M'Boi Mirim,62.10,563305,9071
Mooca,35.20,343980,9772
Parelheiros,353.50,139441,394
Penha,42.80,474659,11090
Perus,57.20,164046,2553
Pinheiros,31.70,289743,9140
Pirituba-Jaraguá,54.70,437592,8000
Santana-Tucuruvi,34.70,324815,9361
Santo Amaro,37.50,238025,6347
São Mateus,45.80,426794,9319
São Miguel Paulista,24.30,369496,15206
Sapopemba,13.50,284524,21076
Sé,26.20,431106,16
Vila Maria-Vila Guilherme,26.40,297713,11
Vila Mariana,26.50,344632,13
Vila Prudente,19.80,246589,12.45
